packet size: 512bytes
number of packets: 16.0
signal frequency: 100
sample frequency: 200.0
force units: lb, moment units: lb-ft
Counter: 181.0     , Fx: -0.02     ,Fy: -0.02     , Fz: 0.1       , Mx: -0.0141   ,My: -0.0071   ,Mz: 0.0       ,
Counter: 182.0     , Fx: -0.04     ,Fy: 0.01      , Fz: -0.02     , Mx: -0.0071   ,My: 0.0071    ,Mz: -0.0462   ,
Counter: 183.0     , Fx: 0.06      ,Fy: 0.0       , Fz: 0.04      , Mx: -0.0141   ,My: -0.0353   ,Mz: -0.0554   ,
Counter: 184.0     , Fx: -0.0      ,Fy: 0.02      , Fz: 0.04      , Mx: -0.0141   ,My: 0.0       ,Mz: 0.0185    ,
Counter: 185.0     , Fx: 0.01      ,Fy: -0.0      , Fz: -0.16     , Mx: 0.0071    ,My: 0.0212    ,Mz: 0.037     ,
Counter: 186.0     , Fx: 0.01      ,Fy: -0.01     , Fz: 0.07      , Mx: -0.0212   ,My: -0.0282   ,Mz: -0.0092   ,
Counter: 187.0     , Fx: 0.04      ,Fy: 0.03      , Fz: 0.09      , Mx: 0.0283    ,My: -0.0071   ,Mz: -0.0554   ,
Counter: 188.0     , Fx: 0.04      ,Fy: -0.0      , Fz: 0.05      , Mx: 0.0071    ,My: 0.0071    ,Mz: -0.0462   ,
Counter: 189.0     , Fx: 0.02      ,Fy: 0.0       , Fz: 0.05      , Mx: 0.0071    ,My: -0.0212   ,Mz: 0.037     ,
Counter: 190.0     , Fx: -0.01     ,Fy: 0.03      , Fz: -0.14     , Mx: -0.0283   ,My: 0.0424    ,Mz: -0.0739   ,
Counter: 191.0     , Fx: -0.01     ,Fy: -0.06     , Fz: -0.08     , Mx: -0.0071   ,My: 0.0141    ,Mz: -0.0462   ,
Counter: 192.0     , Fx: 0.01      ,Fy: -0.0      , Fz: 0.04      , Mx: 0.0212    ,My: -0.0141   ,Mz: 0.0185    ,
Counter: 193.0     , Fx: 0.01      ,Fy: 0.0       , Fz: -0.07     , Mx: -0.0071   ,My: -0.0141   ,Mz: -0.0647   ,
Counter: 194.0     , Fx: 0.03      ,Fy: -0.02     , Fz: 0.08      , Mx: 0.0       ,My: -0.0071   ,Mz: 0.0185    ,
Counter: 195.0     , Fx: -0.01     ,Fy: 0.06      , Fz: -0.14     , Mx: -0.0141   ,My: -0.0141   ,Mz: -0.0185   ,
Counter: 196.0     , Fx: 0.02      ,Fy: 0.01      , Fz: -0.03     , Mx: -0.0353   ,My: 0.0071    ,Mz: 0.0       ,
Counter: 197.0     , Fx: -0.04     ,Fy: 0.02      , Fz: -0.12     , Mx: 0.0071    ,My: -0.0282   ,Mz: 0.0       ,
Counter: 198.0     , Fx: 0.01      ,Fy: -0.04     , Fz: 0.16      , Mx: 0.0141    ,My: -0.0212   ,Mz: -0.0185   ,
Counter: 199.0     , Fx: 0.01      ,Fy: 0.0       , Fz: -0.2      , Mx: 0.0       ,My: 0.0212    ,Mz: 0.0185    ,
Counter: 200.0     , Fx: 0.02      ,Fy: 0.0       , Fz: 0.21      , Mx: 0.0       ,My: 0.0212    ,Mz: -0.0277   ,
Counter: 201.0     , Fx: -0.04     ,Fy: 0.01      , Fz: 0.03      , Mx: -0.0141   ,My: -0.0071   ,Mz: 0.0092    ,
